SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message
SGlxZFld5512GBIBlu-VR-ASN-AU;Samsung Galaxy Z Fold 5 (512GB, Icy Blue) - Pristine;;;;;0;error;"page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""https://reebelo.com.au/collections/smartphones/02h610t3d104"", waiting until ""domcontentloaded""[22m
"
SGlxZFld5512GBIBluAS-VR-ASN-AU;Samsung Galaxy Z Fold 5 (512GB, Icy Blue) Australian Stock - Pristine;;;;;0;error;"page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to ""https://reebelo.com.au/search?q=Samsung%20Galaxy%20Z%20Fold%205"", waiting until ""domcontentloaded""[22m
"
SGlxZFld51TBBlk-VR-ASN-AU;Samsung Galaxy Z Fold 5 5G (1TB, Black) - Pristine;;;;;0;no_match;
SGlxZFld51TBBlkAS-VR-ASN-AU;Samsung Galaxy Z Fold 5 5G (1TB, Black) Australian Stock - Pristine;;;;;0;no_match;
