SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message
MacPro21Slv32GB512GB14M1-RD-VR-EXD-AU;"Apple Macbook Pro 14"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Excellent";;;;;0;no_match;
MacPro21Slv32GB512GB14M1-VR-ASN-AU;"Apple Macbook Pro 14"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Pristine";;;;;0;no_match;
MacPro21Slv32GB512GB16M1-RD-VR-EXD-AU;"Apple Macbook Pro 16"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Excellent";https://reebelo.com.au/collections/apple-macbook-pro-2021-16-inch?skuId=sku-mgim4dfzuGJcp4UTKoCcxDs;https://reebelo.com.au/collections/apple-macbook-pro-2021-16-inch?skuId=sku-mgim4dfzuGJcp4UTKoCcxDs;;MacBook Pro (2021) 16-inch - Apple M1 Pro chip: 10-Core CPU/16-Core GPU - 16GB RAM - SSD 512GB;1;matched;
MacPro21Slv32GB512GB16M1-VR-ASN-AU;"Apple Macbook Pro 16"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Pristine";;;;;0;no_match;
AMAir20M1A2337GRY256-RD-VR-EXD-AU;"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Grey) - Excellent";;;;;0;no_match;
AMAir20M1A2337GRY256-VR-ASN-AU;"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Grey) - Pristine";;;;;0;no_match;
AMAir20M1A2337GLD256-RD-VR-EXD-AU;"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Rose Gold) - Excellent";;;;;0;no_match;
AMAir20M1A2337GLD256-VR-ASN-AU;"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Rose Gold) - Pristine";;;;;0;no_match;
MacPro2019i7256GB15-RD-VR-EXD-AU;"Apple Macbook Pro 2019 (i7, 16GB RAM, 256GB,  15"", Touch Bar) - Excellent";https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mfdgxko1WSARaLHEQal8DT8;https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mfdgxko1WSARaLHEQal8DT8;;MacBook Pro (2019) 15.4-inch - Intel Core i7 2.6GHz - 16GB RAM - SSD 256GB;1;matched;
