SKU;Product Name;link;amazon_price;amazon_title;match_confidence;status;error_message
iPad10.910Gen256BluPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 256GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0FNXPWF38;365;Apple iPad 10 (2022) - 64GB - Blue - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad10.910Gen256SlvPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 256GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad10.910Gen64BluPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0FNXRM9WD;;Apple iPad 10 (2022) - 64GB - Blue - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad10.910Gen64SlvPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad10.910WF64YlwPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Yellow) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad1120255G6R128Blu-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 128GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0G1B65LGN;;2025 11-inch iPad Pro (Wi-Fi, 1TB, Standard Glass) - Space Black (M5) with Apple Pencil Pro;0.5;matched;
iPad1120255G6R128Pnk-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 128GB, Pink) - Brand New";https://www.amazon.com.au/dp/B0G1B6GB9G;;2025 11-inch iPad Pro (Wi-Fi + Cellular, 1TB, Standard Glass) - Space Black (M5) with Apple Pencil Pro;0.5;matched;
iPad1120255G6R128Slv-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 128GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0G1B6GPSY;;2025 11-inch iPad Pro (Wi-Fi, 512GB, Standard Glass) - Silver (M5) with Apple iPad Magic Keyboard Case (for 11-inch iPad Pro M4) - US English - Black;0.5;matched;
iPad1120255G6R128Ylw-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 128GB, Yellow) - Brand New";https://www.amazon.com.au/dp/B0G1B65LGN;;2025 11-inch iPad Pro (Wi-Fi, 1TB, Standard Glass) - Space Black (M5) with Apple Pencil Pro;0.5;matched;
iPad1120255G6R256Blu-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 256GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0G1B65LGN;;2025 11-inch iPad Pro (Wi-Fi, 1TB, Standard Glass) - Space Black (M5) with Apple Pencil Pro;0.5;matched;
iPad1120255G6R256Pnk-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 256GB, Pink) - Brand New";https://www.amazon.com.au/dp/B0G1B65LGN;;2025 11-inch iPad Pro (Wi-Fi, 1TB, Standard Glass) - Space Black (M5) with Apple Pencil Pro;0.5;matched;
iPad1120255G6R256Slv-AU;"Apple iPad 2025 5G 11"" (6GB RAM, 256GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0G1B77SMN;;2025 11-inch iPad Pro (Wi-Fi + Cellular, 256GB, Standard Glass) - Silver (M5) with Apple iPad Magic Keyboard Case (for 11-inch iPad Pro M4) - US English - Black;0.5;matched;
