SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message
MacAir2013i54128GB-RD-EXD-AU;Apple Macbook Air 2013 (i5, 4GB RAM, 128GB) - Excellent;;;;;0;no_match;
MacAir2013i58128GB-RD-EXD-AU;Apple Macbook Air 2013 (i5, 8GB RAM, 128GB) - Excellent;;;;;0;no_match;
MacAir2015128GBAS-RD-VR-EXD-AU;"Apple Macbook Air 2015 (13"", i5, 128GB, Silver) AU - Excellent";;;;;0;no_match;
MacAirMJVE2LLi58256GB13-RD-EXD-AU;Apple Macbook Air 2015 (i5, 8GB RAM, 256GB) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2015-13.3-inch?skuId=sku-mflc2dp3lF09dQSRDYkQ5XM;https://reebelo.com.au/collections/apple-macbook-air-2015-13.3-inch?skuId=sku-mflc2dp3lF09dQSRDYkQ5XM;;MacBook Air (2015) 13.3-inch - Intel Core i5 1.6GHz - 4GB RAM - SSD 256GB;1;matched;
MacAir2018SpGi51.5TB13-RD-VR-EXD-AU;Apple Macbook Air 2018 (i5, 16GB RAM, 1.5TB, Space Grey) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mi5srdmbTnYjSuuRjJuyc2G;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mi5srdmbTnYjSuuRjJuyc2G;;MacBook Air (2018) 13.3-inch - Intel Core i5 1.6GHz - 16GB RAM - SSD 256GB;1;matched;
MacAir2018Gldi5128GB13-RD-VR-EXD-AU;Apple Macbook Air 2018 (i5, 8GB RAM, 128GB, Gold) - Excellent - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mflc6n63VyMuMvMgVPEm7u0;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mflc6n63VyMuMvMgVPEm7u0;;MacBook Air (2018) 13.3-inch - Intel Core i5 1.6GHz - 8GB RAM - SSD 128GB;1;matched;
MacAir2018SpGi5128GB13-RD-VR-EXD-AU;Apple Macbook Air 2018 (i5, 8GB RAM, 128GB, Space Grey) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mfdd0jxhJslzSxtbQjl7Vym;https://reebelo.com.au/collections/apple-macbook-air-2018-13.3-inch?skuId=sku-mfdd0jxhJslzSxtbQjl7Vym;;MacBook Air (2018) 13.3-inch - Intel Core i5 1.6GHz - 8GB RAM - SSD 128GB;1;matched;
MacAir2019Gldi516512GB13-RD-VR-EXD-AU;Apple Macbook Air 2019 (i5, 16GB RAM, 512GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfe8gabfAL3XhBtJiELM7KZ;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfe8gabfAL3XhBtJiELM7KZ;;MacBook Air (2019) 13.3-inch - Intel Core i5 1.6GHz - 8GB RAM - SSD 128GB;1;matched;
MacAir2019Gldi58128GB13-RD-VR-EXD-AU;Apple Macbook Air 2019 (i5, 8GB RAM, 128GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfe8gabfAL3XhBtJiELM7KZ;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfe8gabfAL3XhBtJiELM7KZ;;MacBook Air (2019) 13.3-inch - Intel Core i5 1.6GHz - 8GB RAM - SSD 128GB;1;matched;
MacAir2019Gldi58256GB13-RD-VR-EXD-AU;Apple Macbook Air 2019 (i5, 8GB RAM, 256GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfdfdlhskBlX5yIv5joIIew;https://reebelo.com.au/collections/apple-macbook-air-2019-13.3-inch?skuId=sku-mfdfdlhskBlX5yIv5joIIew;;MacBook Air (2019) 13.3-inch - Intel Core i5 1.6GHz - 8GB RAM - SSD 256GB;1;matched;
