SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message;spec;condition
SGlxA14128GBBlk-RD-VR-EXD-AU;Samsung Galaxy A14 (128GB, Black) - Excellent;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SMGA14128GBBlkAS-VR-ASN-AU;Samsung Galaxy A14 (128GB, Black) Australian Stock - Pristine;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mq8bh9piLjgDdVf6McLHSZ0;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mq8bh9piLjgDdVf6McLHSZ0;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SMGA1464GBBlkAS-RD-VR-EXD-AU;Samsung Galaxy A14 (64GB, Black) Australian Stock - Excellent;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SMGA1464GBBlkAS-VR-ASN-AU;Samsung Galaxy A14 (64GB, Black) Australian Stock - Pristine;;;;;0;no_match;;;
SGlxA14128GB5GBlk-RD-VR-EXD-AU;Samsung Galaxy A14 5G (128GB, Black) - Excellent;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SMGA14128GB5GBlkAS-RD-VR-EXD-AU;Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Excellent;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-moksk9rgyYW0G8EGZMnlZ9j;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SMGA14128GB5GBlkAS-VR-ASN-AU;Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Pristine;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mq8bh9piLjgDdVf6McLHSZ0;https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mq8bh9piLjgDdVf6McLHSZ0;;Galaxy A14 - 128GB - 4GB RAM - 1 Physical SIM - Black;1;matched;;4GB, 4 GB | 128GB, 128 GB, 4GB, 4 GB | Black;Refurbished
SGlxA15128Blk-RD-VR-EXD-AU;Samsung Galaxy A15 (128GB, Black) - Excellent;;;;;0;no_match;;;
SGA20Blck32gb-RD-VR-EXD-AU;Samsung Galaxy A20 (32GB, Black) - Excellent;https://reebelo.com.au/collections/samsung-galaxy-a20?skuId=sku-mon8t0e5myNDrEFTgNBorFk;https://reebelo.com.au/collections/samsung-galaxy-a20?skuId=sku-mon8t0e5myNDrEFTgNBorFk;;Galaxy A20 - 32GB - 1 Physical SIM - Black;1;matched;;32GB, 32 GB | Black;Refurbished
