SKU;Product Name;link;amazon_price;amazon_title;match_confidence;status;error_message
ipD2Gry16GBCellAS-RD-VR-EXD-AU;Apple iPad 2 Cellular (16GB, Grey) Australian Stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
iPad232GBCellGryAS-RD-VR-EXD-AU;Apple iPad 2 Cellular (32GB, Grey) Australian stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
iPad232GBCellSilAS-RD-VR-EXD-AU;Apple iPad 2 Cellular (32GB, Silver) Australian stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
iPad232GBWifiBlkAS-RD-VR-EXD-AU;Apple iPad 2 Wifi (32GB, Black) Australian stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
iPad232GBWifiWhtAS-RD-VR-EXD-AU;Apple iPad 2 Wifi (32GB, White) Australian stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
ipD364GBGryAS-RD-VR-EXD-AU;Apple iPad 3 (64GB, Grey) Australian Stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
ipD364GBSilvAS-RD-VR-EXD-AU;Apple iPad 3 (64GB, Silver) Australian Stock - Excellent;https://reebelo.com.au/collections/australian-koala-wildlife-tee-s;;Australian Koala  Wildlife Tee S - Copper - Excellent;0.5;matched;
