SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
ip11128GBYellow-EXD-AU;Apple iPhone 11 (128GB, Yellow) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-yellow-unlocked/03cba5a1-30de-4582-ae44-15ed5fa3d96a?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Yellow;329;iPhone 11Yellow • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-yellow-unlocked/03cba5a1-30de-4582-ae44-15ed5fa3d96a?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip11256GBBlack-EXD-AU;Apple iPhone 11 (256GB, Black) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-black-unlocked/598903c8-9c86-4cba-b0fa-de226b0f14bc?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Black;229;iPhone 11Black • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-black-unlocked/598903c8-9c86-4cba-b0fa-de226b0f14bc?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip11256GBPurple-EXD-AU;Apple iPhone 11 (256GB, Purple) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-purple-unlocked/5d271f12-06f6-49e8-9656-a0493c9bcfca?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Purple;329;iPhone 11Purple • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-purple-unlocked/5d271f12-06f6-49e8-9656-a0493c9bcfca?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip11256GBYellow-EXD-AU;Apple iPhone 11 (256GB, Yellow) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-yellow-unlocked/03cba5a1-30de-4582-ae44-15ed5fa3d96a?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Yellow;329;iPhone 11Yellow • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-yellow-unlocked/03cba5a1-30de-4582-ae44-15ed5fa3d96a?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip1164GBGreen-EXD-AU;Apple iPhone 11 (64GB, Green) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-green-unlocked/49bc0868-7663-4f3f-97c5-313d266d5191?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Green;329;iPhone 11Green • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-green-unlocked/49bc0868-7663-4f3f-97c5-313d266d5191?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip1164GBPurple-EXD-AU;Apple iPhone 11 (64GB, Purple) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-purple-unlocked/5d271f12-06f6-49e8-9656-a0493c9bcfca?l=12&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Purple;329;iPhone 11Purple • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-64-gb-purple-unlocked/5d271f12-06f6-49e8-9656-a0493c9bcfca?l=12&variantClicked=true&pickerClicked=true#scroll=false
ip11ProGB256Gold-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Gold) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-gold-unlocked/af04e34e-ec88-485d-8d7b-d3257777b95d?l=11&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Gold;424;iPhone 11 ProGold • 64 GB • Physical SIM + eSIM - A$424.00A$1,029.00 new This is the price of the device when sold new. It’s included to show how much you save when buying refurbished versus new. It reflects either the manufacturer’s original price or the average market price of other distributors today. Save A$605.00 GST inclusive*Add to cart;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-gold-unlocked/af04e34e-ec88-485d-8d7b-d3257777b95d?l=11&variantClicked=true&pickerClicked=true#scroll=false
ip11ProGB256Slvr-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-silver-unlocked/9143dee3-4852-48a3-bf94-5c6843d8ce98?l=11&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Silver;340;iPhone 11 ProSilver • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-silver-unlocked/9143dee3-4852-48a3-bf94-5c6843d8ce98?l=11&variantClicked=true&pickerClicked=true#scroll=false
ip11ProGB512Green-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Green) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-midnight-green-unlocked/c9f5899f-3dc2-4d36-b4c6-be87cafcbc04?l=11&variantClicked=true&pickerClicked=true#scroll=false;64GB, 64 GB, 64GB, 64 GB | Midnight Green;361.8;iPhone 11 ProMidnight green • 64 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro-64-gb-midnight-green-unlocked/c9f5899f-3dc2-4d36-b4c6-be87cafcbc04?l=11&variantClicked=true&pickerClicked=true#scroll=false
ip11ProGB512SpG-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Grey) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro;No specs detected;315;iPhone 11 Pro;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro
