SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
ip11ProMax512GBSpG-ASN-AU;Apple iPhone 11 PRO MAX (512GB, Space Grey) - Pristine;;;;;0;no_match;;;
iPh16Plus256GBTeal-VR-ASN-AU;Apple iPhone 16 Plus (256GB, Teal) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-16-plus-128-gb-teal-unlocked/dc022ff4-43fa-4a2a-a06b-7d92d12174f2?l=11&variantClicked=true&pickerClicked=true#scroll=false;128GB, 128 GB, 128GB, 128 GB | Teal;1179;iPhone 16 PlusTeal • 128 GB • Physical SIM + eSIM;1;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-16-plus-128-gb-teal-unlocked/dc022ff4-43fa-4a2a-a06b-7d92d12174f2?l=11&variantClicked=true&pickerClicked=true#scroll=false
iPh16Plus256GBTeal-RD-VR-EXD-AU;Apple iPhone 16 Plus (256GB, Teal) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-16-plus-128-gb-teal-unlocked/dc022ff4-43fa-4a2a-a06b-7d92d12174f2?l=11&variantClicked=true&pickerClicked=true#scroll=false;128GB, 128 GB, 128GB, 128 GB | Teal;1179;iPhone 16 PlusTeal • 128 GB • Physical SIM + eSIM;1;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-16-plus-128-gb-teal-unlocked/dc022ff4-43fa-4a2a-a06b-7d92d12174f2?l=11&variantClicked=true&pickerClicked=true#scroll=false
