PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
"Samsung Galaxy A12 (128GB, Black) - Excellent",Samsung Galaxy A Series,Samsung,,,SamGlxA12Blck128GB-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a12?skuId=sku-mflc3ms1u5pf5hESm5ME3gY,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-12-128-gb-black-unlocked/159937fe-948b-4bc3-aed6-ec2e0dc7c789?l=11&variantClicked=true#scroll=false,,,#N/A
"Samsung Galaxy A13 (128GB, Black) - Excellent",Samsung Galaxy A Series,Samsung,,,SGlxA13128GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a13?skuId=sku-mnpk7kj1I4tspMHK6FakLLp,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-13-128-gb-black-unlocked/c704c604-2732-4782-9ad1-c7a64e01217e?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0DWF4JSGM,,#N/A
"Samsung Galaxy A14 (128GB, Black) - Excellent",Samsung Galaxy A Series,Samsung,,,SGlxA14128GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpn3fn8uqOXN9H0FgyAjiw,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-14-128-gb-black-unlocked/07f6895f-6c61-43a8-8d5b-019631090f52?l=11#,https://www.amazon.com.au/dp/B0CZXYYZMV,,#N/A
"Samsung Galaxy A14 (128GB, Black) Australian Stock - Pristine",Samsung Galaxy A Series,Samsung,,,SMGA14128GBBlkAS-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-14-128-gb-black-unlocked/07f6895f-6c61-43a8-8d5b-019631090f52?l=10#,,,#N/A
"Samsung Galaxy A14 (64GB, Black) Australian Stock - Excellent",Samsung Galaxy A Series,Samsung,,,SMGA1464GBBlkAS-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Samsung Galaxy A14 (64GB, Black) Australian Stock - Pristine",Samsung Galaxy A Series,Samsung,,,SMGA1464GBBlkAS-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy A14 5G (128GB, Black) - Excellent",Samsung Galaxy A Series,Samsung,,,SGlxA14128GB5GBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpl2nbcHAm4TxcRaCfzEZn,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/7e9b938b-5830-4876-81b8-c584a34a57f9?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0CZXYYZMV,,213.00
"Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Excellent",Samsung Galaxy A Series,Samsung,,,SMGA14128GB5GBlkAS-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpl2nbcHAm4TxcRaCfzEZn,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/8aea794d-85f5-48c7-82df-65bff8fb8d52?l=11#scroll=false,,,#N/A
"Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Pristine",Samsung Galaxy A Series,Samsung,,,SMGA14128GB5GBlkAS-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/8aea794d-85f5-48c7-82df-65bff8fb8d52?l=10#scroll=false,,,#N/A
