PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Audit Reebelo By
"Apple Watch Series 9 Aluminum (45MM, Black) - Excellent",Apple Watch Series 9,Apple,,,AWTCH945MMBlk-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-2023-gps-45-aluminium-midnight-sport-band/69f83e49-1276-4abd-9d4c-332e7c7458d4?l=11&variantClicked=true#scroll=false,,,
"Apple Watch Series 7 Cellular (41MM, Silver) - Pristine",Apple Watch Series 7,Apple,,,AplWS7Cel41MMSlv-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Gold) - Pristine",Apple Watch Series 7,Apple,,,AplWtchS745MMCelGld-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Aluminum (45MM, Black) - Pristine",Apple Watch Series 9,Apple,,,AWTCH945MMBlk-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-2023-gps-45-aluminium-midnight-sport-band/69f83e49-1276-4abd-9d4c-332e7c7458d4?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,
"Apple Watch Series 7 Celular (45MM, Grey) - Pristine",Apple Watch Series 7,Apple,,,AplWtchS745MMCelGry-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 7 Celular (45MM, Midnight) - Pristine",Apple Watch Series 7,Apple,,,AplWtchS745MMCelMid-VR-ASN-AU,,,,,,,,,,
"Apple Watch Ultra Titanium Cellular (49MM, Titanium) AU - Excellent",Apple Watch Ultra Series,Apple,,,AplWUltTn49MMCelTnmAS-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-1-st-gen-2022-gps-cellular-49-titanium-titanium-sport-loop/77bc94b5-f8e4-4968-9194-53006e56c621?l=11&variantClicked=true#scroll=false,,,
"Apple Watch Series 7 Celular (45MM, Silver) - Pristine",Apple Watch Series 7,Apple,,,AplWtchS745MMCelSlv-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 8 (41MM, Silver) - Pristine",Apple Watch Series 8,Apple,,,AplWS841MMSlv-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 8 (45MM, Black) - Pristine",Apple Watch Series 8,Apple,,,AWTCH845MMBlk-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 8 (45MM, Silver) - Pristine",Apple Watch Series 8,Apple,,,AWTCH845MMSlv-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-mm/441371a6-b4f0-4e5d-a45f-997a284a4514?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,
"Apple Watch Series 8 Cellular (41MM, Gold) - Pristine",Apple Watch Series 8,Apple,,,AplWS841MMCelGld-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 8 Cellular (41MM, Starlight) - Pristine",Apple Watch Series 8,Apple,,,AplWS841MMCelStrlght-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 8 Cellular (45MM, Gold) - Pristine",Apple Watch Series 8,Apple,,,AplWS845MMCelGld-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Aluminium (41MM, Black) - Pristine",Apple Watch Series 9,Apple,,,AWTCH941MMBlk-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Aluminium (45MM, Celullar, Rose Gold) - Pristine",Apple Watch Series 9,Apple,,,ApWtS9Al45MMCellRSe-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Aluminium (45MM, Celullar, Silver) - Pristine",Apple Watch Series 9,Apple,,,ApWtS9Al45MMCellSil-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Aluminum (45MM, Pink) - Pristine",Apple Watch Series 9,Apple,,,AWTCH945MMPnk-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-2023-gps-45-aluminium-pink-sport-band/cc33b739-234a-4fb4-b779-b98f7291cb2a?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,
"Apple Watch Series 9 Aluminum Cellular (41MM, Black) - Pristine",Apple Watch Series 9,Apple,,,AWTCH941MMCLLBlk-VR-ASN-AU,,,,,,,,,,
"Apple Watch Series 9 Stainless (45MM, Black) - Pristine",Apple Watch Series 9,Apple,,,AWTCH9STN45MMBlk-VR-ASN-AU,,,,,,,,,,
"Apple Watch Ultra Titanium Cellular (49MM, Titanium) AU - Pristine",Apple Watch Ultra Series,Apple,,,AplWUltTn49MMCelTnmAS-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/apple-watch-1-st-gen-2022-gps-cellular-49-titanium-titanium-sport-loop/77bc94b5-f8e4-4968-9194-53006e56c621?l=10&variantClicked=true#scroll=false,,,
"Samsung Galaxy Watch 4 (44MM, Green, Bluetooth) - Excellent",Samsung Galaxy Watch4,Samsung,,,SamGalWtch4Bth44MMGrn-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch 4 Cellular (46MM, Black) - Excellent",Samsung Galaxy Watch4,Samsung,,,SGlxWtch446MMCCelBlk-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch 5 (44MM, Graphite, Aluminum) AU - Excellent",Samsung Galaxy Watch5,Samsung,,,SWTCH544MMGrptAS-RD-VR-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0CTT72Z5P,,
"Samsung Galaxy Watch 5 Pro Cellular (45MM, Silver) AU - Excellent",Samsung Galaxy Watch5,Samsung,,,SGlxW5ProCel45MMSlvAS-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 (40MM, Black) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct240MMBthBlk-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 (40MM, Gold) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct240MMBthGld-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 (44MM, Black) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct244MMBthBlk-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 (44MM, Gold) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct244MMBthGld-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 Cellular (40MM, Black) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct240MMCelBlk-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Active2 Cellular (40MM, Gold) - Excellent",Samsung Galaxy Watch Active,Samsung,,,GlxWAct240MMCelGld-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Gear S3 (46MM, Black) AU - Excellent",Samsung Galaxy Watch Gear,Samsung,,,SGlxWGrS346MMBlkAS-RD-VR-EXD-AU,,,,,,,,,,
"Samsung Galaxy Watch Series 5 Aluminum (40mm, Pink Gold) AU - Excellent",Samsung Galaxy Watch5,Samsung,,,SGlxW540MMALPnkAS-RD-VR-EXD-AU,,,,,,,,,,
