PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor #4 URL,Competitor #5 URL,Competitor #6 URL,Harga Amazon
"Samsung Galaxy Tab S11 Wifi (12GB RAM, 128GB, Platinum Silver) - Brand New",Samsung Galaxy Tab S Series,Samsung,,,SGalTabS11WF12R128Sv-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-tab-s11-x730-12gb-ram-128gb-wifi?variant=44254328881267,,,,#N/A
"OnePlus 15R 5G (12GB RAM, 256GB, Charcoal Black) - Brand New",Oneplus 15 Series,OnePlus,,,OnePls15R5G12R256Blk-AU,,,,,,,,https://buymobile.com.au/products/oneplus-15r-cph2769-dual-sim-12gb-ram-256gb-5g?variant=44272399482995,https://spectronic.com.au/product/oneplus-15r-5g-256gb-12gb-ram-charcoal-black-dual-sim-global-version/,https://bestmobilephone.com.au/oneplus-15r-5g-dual-sim-12gb-256gb-charcoal-black-cph2769-global-version/,https://www.amazon.com.au/dp/B0FXFR45J7,814.00
"OnePlus 15R 5G (12GB RAM, 512GB, Charcoal Black) - Brand New",Oneplus 15 Series,OnePlus,,,OnePls15R5G12R512Blk-AU,,,,,,,,https://buymobile.com.au/products/oneplus-15r-cph2769-dual-sim-12gb-ram-512gb-5g?variant=44272399450227,https://spectronic.com.au/product/oneplus-15r-5g-512gb-12gb-ram-charcoal-black-dual-sim-global-version/,https://bestmobilephone.com.au/oneplus-15r-5g-dual-sim-12gb-512gb-charcoal-black-cph2769-global-version/,https://www.amazon.com.au/dp/B0FZTQ2K8Z,"1,064.90"
"OPPO Reno 15 F Dual SIM 5G (12 GB RAM, 512GB, Aurora Blue) - Brand New",OPPO Reno Series,OPPO,,,OPRen15F5G12R512Aur-AU,,,,,,,,,,,,#N/A
"OPPO Reno 15 F Dual SIM 5G (12 GB RAM, 512GB, Twilight Blue) - Brand New",OPPO Reno Series,OPPO,,,OPRen15F5G12R512Twi-AU,,,,,,,,,,,,#N/A
"OPPO Reno 15 Pro Max Dual SIM 5G (12GB RAM, 512GB, Aura Gold) - Brand New",OPPO Reno Series,OPPO,,,OPRen15ProMax5G12R512Gld-AU,,,,,,,,,,,,#N/A
"OPPO Reno 15 Pro Max Dual SIM 5G (12GB RAM, 512GB, Dusk Brown) - Brand New",OPPO Reno Series,OPPO,,,OPRen15ProMax5G12R512Brn-AU,,,,,,,,,,,,#N/A
"OnePlus 15 5G (16GB RAM, 512GB, Ultra Violet) - Brand New",Oneplus 15 Series,OnePlus,,,OnePls155G16R512Vio-AU,,,,,,,,https://buymobile.com.au/products/oneplus-15-cph2747-dual-sim-16gb-ram-512gb-5g?variant=44168286371955,,,https://www.amazon.com.au/dp/B0FSDS8HZN,"1,376.00"
"Honor X9D 5G (12GB RAM, 512GB, Midnight Black) - Brand New",Honor,Honor,,,HonX9D12R512Blk-AU,,,,,,,,,,,,#N/A
"Honor X9D 5G (12GB RAM, 512GB, Reddish Brown) - Brand New",Honor,Honor,,,HonX9D12R512Red-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FSRRPK1J,
"Samsung Galaxy Tab A11+ 11"" Wifi (8GB RAM, 256GB, Silver) - Brand New",Samsung Galaxy Tab A Series,Samsung,,,SamGalTabA11Pls11WF8R256Slv-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-tab-a11-plus-x230-8gb-ram-256gb-wifi?variant=44259434004595,,,https://www.amazon.com.au/dp/B0GCP3SY7G,#N/A
"Samsung Galaxy Tab A11+ 11"" 5G (6GB RAM, 128GB, Gray) - Brand New",Samsung Galaxy Tab A Series,Samsung,,,SamGalTabA11Pls115G6R128Gry-AU,,,,,,https://www.jbhifi.com.au/products/samsung-galaxy-tab-a11-11-5g-128gb-grey,https://www.mobileciti.com.au/samsung-galaxy-tab-a11-plus-5g-128gb-6gb-sm-x230nz-grey,,,,https://www.amazon.com.au/dp/B0G2RVP16M,#N/A
"Samsung Galaxy Tab A11+ 11"" 5G (6GB RAM, 128GB, Silver) - Brand New",Samsung Galaxy Tab A Series,Samsung,,,SamGalTabA11Pls115G6R128Slv-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FXXJGTFF,#N/A
"Samsung Galaxy Tab A11 8.7 Wifi (4GB RAM, 64GB, Silver) - Brand New",Samsung Galaxy Tab A Series,Samsung,,,SGalTabA1187WF4R64Sv-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Note 15 Pro+ Plus 5G (8GB RAM, 256GB, Black) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNT15ProPs5G8R256Blk-AU,,,,,,,https://www.mobileciti.com.au/redmi-note-15-pro-plus-5g-256gb-black,https://buymobile.com.au/products/xiaomi-redmi-note-15-pro-dual-sim-8gb-ram-256gb-5g?variant=44272397615219,,https://bestmobilephone.com.au/xiaomi-redmi-note-15-pro-plus-5g-dual-sim-12gb-256gb-black-global-version/,,#N/A
"Xiaomi Redmi Note 15 Pro+ Plus 5G (8GB RAM, 256GB, Glacier Blue) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNT15ProPs5G8R256Blu-AU,,,,,,,https://www.mobileciti.com.au/redmi-note-15-pro-plus-5g-256gb-blue,https://buymobile.com.au/products/xiaomi-redmi-note-15-pro-dual-sim-8gb-ram-256gb-5g?variant=44272397647987,,https://bestmobilephone.com.au/xiaomi-redmi-note-15-pro-plus-5g-dual-sim-12gb-256gb-glacier-blue-global-version/,,#N/A
"Xiaomi Redmi Note 15 Pro+ Plus 5G (8GB RAM, 256GB, Mocha Brown) - Brand New",Xiaomi Redmi Note Series,Xiaomi,,,XiaRedNT15ProPs5G8R256Brn-AU,,,,,,,https://www.mobileciti.com.au/redmi-note-15-pro-plus-5g-dual-sim-256gb-8gb-6-83-brown,https://buymobile.com.au/products/xiaomi-redmi-note-15-pro-dual-sim-8gb-ram-256gb-5g?variant=44272397680755,,https://bestmobilephone.com.au/xiaomi-redmi-note-15-pro-plus-5g-dual-sim-12gb-256gb-mocha-brown-global-version/,,#N/A
"Samsung Galaxy A26 Dual SIM 5G (8GB RAM, 256GB, Black) - Brand New",Samsung Galaxy A Series,Samsung,,,SamGalA265G8R256Blk-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-a26-dual-sim-8gb-ram-256gb-5g?variant=42955829772403,https://spectronic.com.au/product/samsung-galaxy-a26-5g-256gb-8gb-ram-black-dual-sim-global-version-sm-a2660/,,,#N/A
"Samsung Galaxy A26 Dual SIM 5G (8GB RAM, 256GB, Mint) - Brand New",Samsung Galaxy A Series,Samsung,,,SamGalA265G8R256Mnt-AU,,,,,,,,https://buymobile.com.au/products/samsung-galaxy-a26-dual-sim-8gb-ram-256gb-5g?variant=43144516436083,https://spectronic.com.au/product/samsung-galaxy-a26-5g-256gb-8gb-ram-mint-dual-sim-global-version-sm-a2660/,,https://www.amazon.com.au/dp/B0F13SKKDW,#N/A
"Xiaomi Redmi Pad 2 Pro 5G (8GB RAM, 256GB, Graphite Gray) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2Pro5G8R256Gry-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-pro-8gb-ram-256gb-5g?variant=44249757188211,,,,#N/A
"Xiaomi Redmi Pad 2 Pro 5G (8GB RAM, 256GB, Silver) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2Pro5G8R256Slv-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-pro-8gb-ram-256gb-5g?variant=44249757220979,,,,#N/A
"Xiaomi Redmi Pad 2 Pro Wifi (6GB RAM, 126GB, Graphite Gray) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2ProWF6R128Gry-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-pro-6gb-ram-128gb-wifi?variant=44249757352051,,,https://www.amazon.com.au/dp/B0FVDZ1W42,450.00
"Xiaomi Redmi Pad 2 Pro Wifi (6GB RAM, 126GB, Silver) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2ProWF6R128Slv-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-pro-6gb-ram-128gb-wifi?variant=44249757384819,,,,#N/A
"Xiaomi Redmi Pad 2 Wifi 11"" (4GB RAM, 128GB, Graphite Gray) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF114R128Gry-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-4gb-ram-128gb-wifi?variant=43143250772083,,,https://www.amazon.com.au/dp/B0FBQQXPJZ,277.33
"Xiaomi Redmi Pad 2 Wifi 11"" (4GB RAM, 128GB, Lavender Purple) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF114R128Lav-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-4gb-ram-128gb-wifi?variant=43178658791539,,,,#N/A
"Xiaomi Redmi Pad 2 Wifi 11"" (4GB RAM, 128GB, Mint Green) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF114R128Mnt-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-4gb-ram-128gb-wifi?variant=44239106605171,,,https://www.amazon.com.au/dp/B0FBQWYZVD,268.64
"Xiaomi Redmi Pad 2 Wifi 11"" (8GB RAM, 256GB, Graphite Gray) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF118R256Gry-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-8gb-ram-256gb-wifi?variant=43143250575475,,,https://www.amazon.com.au/dp/B0FF4XRLY7,373.72
"Xiaomi Redmi Pad 2 Wifi 11"" (8GB RAM, 256GB, Lavender Purple) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF118R256Lav-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-8gb-ram-256gb-wifi?variant=43143250608243,,,https://www.amazon.com.au/dp/B0FFB6XVS4,
"Xiaomi Redmi Pad 2 Wifi 11"" (8GB RAM, 256GB, Mint Green) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad2WF118R256Mnt-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-8gb-ram-256gb-wifi?variant=44239168667763,,,https://www.amazon.com.au/dp/B0FBR1L7WD,324.00
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 256GB, Black) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R256Blk-AU,,,,,,,,,,,,#N/A
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 256GB, Green) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R256Grn-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FZLC196W,340.45
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 256GB, Silver) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R256Slv-AU,,,,,,,,,,,https://www.amazon.com.au/dp/B0FZL6GJRJ,340.45
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 512GB, Black) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R512Blk-AU,,,,,,,,,,,,#N/A
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 512GB, Green) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R512Grn-AU,,,,,,,,,,,,#N/A
"Xiaomi Poco M8 Dual SIM 5G (8GB RAM, 512GB, Silver) - Brand New",Xiaomi Poco Series,Xiaomi,,,XiaPocM85G8R512Slv-AU,,,,,,,,,,,,#N/A
"Xiaomi Redmi Pad 2 Cellular 11"" (8GB RAM, 256GB, Graphite Gray) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad24G118R256Gry-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-8gb-ram-256gb-4g?variant=44275406667891,,,,#N/A
"Xiaomi Redmi Pad 2 Cellular 11"" (8GB RAM, 256GB, Mint Green) - Brand New",Xiaomi Pad,Xiaomi,,,XiaRedPad24G118R256Mnt-AU,,,,,,,,https://buymobile.com.au/products/xiaomi-redmi-pad-2-8gb-ram-256gb-4g?variant=44249757253747,,,,#N/A
"Nubia Flip Dual SIM 5G (12GB RAM, 512GB, Cosmic Black) - Brand New",Nubia,Nubia,,,NubFp5G12R512Blk-AU,,,,,,,,https://buymobile.com.au/products/nubia-flip-nx724j-dual-sim-12gb-ram-512gb-5g?variant=44125681287283,,,,#N/A
"Nubia Flip Dual SIM 5G (12GB RAM, 512GB, Sunshine Gold) - Brand New",Nubia,Nubia,,,NubFp5G12R512Gld-AU,,,,,,,,https://buymobile.com.au/products/nubia-flip-nx724j-dual-sim-12gb-ram-512gb-5g?variant=43791782772851,,,,#N/A
