PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
"Apple Macbook Pro 14"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Excellent",Apple Macbook Pro Series,Apple,,,MacPro21Slv32GB512GB14M1-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Apple Macbook Pro 14"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Pristine",Apple Macbook Pro Series,Apple,,,MacPro21Slv32GB512GB14M1-VR-ASN-AU,,,,,,,,,,#N/A
"Apple Macbook Pro 16"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Excellent",Apple Macbook Pro Series,Apple,,,MacPro21Slv32GB512GB16M1-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Apple Macbook Pro 16"" 2021 (M1 PRO, 32GB RAM, 512GB, Silver) - Pristine",Apple Macbook Pro Series,Apple,,,MacPro21Slv32GB512GB16M1-VR-ASN-AU,,,,,,,,,,#N/A
"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Grey) - Excellent",Apple Macbook Air Series,Apple,,,AMAir20M1A2337GRY256-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-macbook-air-2020-m1-13.3-inch?skuId=sku-merupc69dH6xlnSALzeHmcw,,,,#N/A
"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Grey) - Pristine",Apple Macbook Air Series,Apple,,,AMAir20M1A2337GRY256-VR-ASN-AU,,,,,,https://reebelo.com.au/collections/apple-macbook-air-2020-m1-13.3-inch?skuId=sku-mers21ez5GE1kAU2zbOQidx,,,,#N/A
"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Rose Gold) - Excellent",Apple Macbook Air Series,Apple,,,AMAir20M1A2337GLD256-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Rose Gold) - Pristine",Apple Macbook Air Series,Apple,,,AMAir20M1A2337GLD256-VR-ASN-AU,,,,,,,,,,#N/A
"Apple Macbook Pro 2019 (i7, 16GB RAM, 256GB,  15"", Touch Bar) - Excellent",Apple Macbook Pro Series,Apple,,,MacPro2019i7256GB15-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mfliprbc3i4cZeTOOs2miWw,https://www.backmarket.com.au/en-au/p/macbook-pro-retina-15-4-inch-2019-core-i-7-16-gb-ssd-256-qwerty-english/f9ff2029-a993-4e3b-a9fb-46de61d5c3f5?l=11&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
